Prospect Domain,DR,Contact Name,Email,Outreach Date,Follow-up 1 Date,Follow-up 2 Date,Status,Link Acquired (Y/N),Link URL
(example) foodingredientpublication.com,Unknown,,, , , ,Idea,N,
(example) import-export-howto.example,Unknown,,, , , ,Idea,N,
(example) beverage-industry-mag.example,Unknown,,, , , ,Idea,N,
(example) confectionery-trade.example,Unknown,,, , , ,Idea,N,
(example) thai-exporters-directory.example,Unknown,,, , , ,Idea,N,
(example) incoterms-education.example,Unknown,,, , , ,Idea,N,
(example) qa-food-safety-blog.example,Unknown,,, , , ,Idea,N,
(example) sugar-commodity-newsletter.example,Unknown,,, , , ,Idea,N,
(example) aseansupplychain.example,Unknown,,, , , ,Idea,N,
(example) packaging-fibc-blog.example,Unknown,,, , , ,Idea,N,
(example) customs-broker-blog.example,Unknown,,, , , ,Idea,N,
(example) food-plant-engineering.example,Unknown,,, , , ,Idea,N,
(example) grocery-wholesale-b2b.example,Unknown,,, , , ,Idea,N,
(example) agriculture-thailand-media.example,Unknown,,, , , ,Idea,N,
(example) procurement-leaders-newsletter.example,Unknown,,, , , ,Idea,N,
(example) help-a-b2b-writer query,Unknown,,, , , ,Idea,N,
(example) featured.com food manufacturing,Unknown,,, , , ,Idea,N,
(example) university food-science resource,Unknown,,, , , ,Idea,N,
(example) wikipedia/wikidata only if notable,Unknown,,, , , ,Hold,N,
(example) google-business-profile citations,Unknown,,, , , ,Off-site,N,
