Target Site,DR,Editor Contact,Pitch Status,Published Link,Notes
Food-ingredient trade magazine,Unknown,,Idea,,ICUMSA specification angle
Beverage industry publication,Unknown,,Idea,,ICUMSA 45 for bottlers
Import logistics journal,Unknown,,Idea,,Documents + Incoterms
Thai business / export magazine,Unknown,,Idea,,Khonkaen origin story (factual NAP only)
QA / food safety newsletter,Unknown,,Idea,,Spec sheet hygiene
Procurement B2B site,Unknown,,Idea,,How to write an RFQ
Packaging trade blog,Unknown,,Idea,,50 kg vs jumbo
ASEAN trade media,Unknown,,Idea,,Thailand origin refined sugar
Confectionery technical journal,Unknown,,Idea,,Colour grade vs recipe
Supply-chain education site,Unknown,,Idea,,FOB vs CIF
