Keyword,Volume,Difficulty,Intent,Assigned Page URL,Page Type,Gap,Priority
wholesale refined sugar,High,Medium,Commercial,/,Homepage,N,High
wholesale refined sugar Thailand,High,Medium,Commercial,/,Homepage,N,High
Thai sugar exporter,Medium,Medium,Commercial,/about-us,About,N,High
refined white sugar bulk,High,Medium,Transactional,/shop,Catalogue,N,High
ICUMSA 45 sugar,High,Medium,Commercial,/product/icumsa-45-sugar,Product,N,High
ICUMSA 100-150 sugar,Medium,Medium,Commercial,/product/icumsa-100-150-sugar,Product,N,High
ICUMSA 45 vs 100-150,Low,Low,Informational,/insights/icumsa-45-vs-100-150,Article,Y,High
what is ICUMSA,Medium,Low,Informational,/insights/what-is-icumsa-sugar-grade,Article,Y,High
ICUMSA meaning,Medium,Low,Informational,/glossary,Glossary,Y,High
import sugar from Thailand,Medium,Medium,Commercial,/insights/how-to-import-refined-sugar-from-thailand,Article,Y,High
sugar export from Thailand,Medium,Medium,Commercial,/insights/how-to-import-refined-sugar-from-thailand,Article,Y,High
wholesale sugar packaging,Low,Low,Commercial,/insights/wholesale-sugar-packaging-and-moq,Article,Y,Medium
sugar export MOQ,Low,Low,Transactional,/insights/wholesale-sugar-packaging-and-moq,Article,Y,Medium
refined sugar quality standard,Medium,Low,Informational,/quality-standard,Service,N,High
sugar manufacturing process Thailand,Low,Low,Informational,/manufacturing-process,Service,N,Medium
how to buy wholesale sugar,Medium,Low,Transactional,/purchasing-procedures,Service,N,High
bulk sugar quote,Medium,Low,Transactional,/contact-us,Contact,N,High
sugar exporter Khonkaen,Low,Low,Local,/about-us,About,N,Medium
Thai brown sugar wholesale,Low,Low,Commercial,/product/thai-brown-sugar,Product,N,Medium
Thai organic sugar export,Low,Low,Commercial,/product/thai-organic-sugar,Product,N,Medium
fine grain white sugar bulk,Low,Low,Commercial,/product/fine-grain-white-sugar,Product,N,Medium
granulated white sugar wholesale,Medium,Medium,Commercial,/product/granulated-sugar-white-sugar,Product,N,Medium
ICUMSA 45 for food manufacturers,Low,Low,Commercial,/insights/icumsa-45-sugar-for-food-manufacturers,Article,Y,High
refined sugar export quality control,Low,Low,Informational,/insights/refined-white-sugar-export-quality,Article,Y,Medium
what is refined white sugar,Medium,Low,Informational,/glossary,Glossary,Y,Medium
sugar polarity,Low,Low,Informational,/glossary,Glossary,Y,Low
ICUMSA 45 FAQ,Low,Low,Informational,/faq,FAQ,Y,High
how to request a sugar quote,Low,Low,Transactional,/faq,FAQ,Y,High
white refined sugars Thailand,Medium,Medium,Commercial,/product-category/white-refined-sugars,Category,N,Medium
ICUMSA sugar grades,Medium,Low,Informational,/product-category/icumsa,Category,N,High
Thai sugars wholesale,Medium,Medium,Commercial,/product-category/thai-sugars,Category,N,Medium
common sugars bulk,Low,Low,Commercial,/product-category/common-sugars,Category,N,Low
sugar export documents,Low,Low,Informational,/purchasing-procedures,Service,N,Medium
FOB CIF sugar Thailand,Low,Low,Commercial,/purchasing-procedures,Service,N,Medium
sugar mill refining process,Low,Low,Informational,/manufacturing-process,Service,N,Low
United Farmer and Industry Co LTD,Low,Low,Navigational,/,Homepage,N,High
UFI Co LTD sugar,Low,Low,Navigational,/about-us,About,N,High
