Publish Date,Content Title,Content Type,Primary Keyword,Intent,Word Count Target,Status
2026-08-17,What is an ICUMSA sugar grade?,Article,what is ICUMSA,Informational,1200,Shipped
2026-08-17,ICUMSA 45 vs 100-150,Article,ICUMSA 45 vs 100-150,Informational,1200,Shipped
2026-08-17,How to import refined sugar from Thailand,Article,import sugar from Thailand,Commercial,1200,Shipped
2026-08-17,Wholesale sugar packaging and MOQ,Article,wholesale sugar packaging,Commercial,1000,Shipped
2026-08-17,Refined sugar export quality,Article,refined sugar export quality control,Informational,1000,Shipped
2026-08-17,ICUMSA 45 for food manufacturers,Article,ICUMSA 45 for food manufacturers,Commercial,1000,Shipped
2026-08-24,What documents are needed to import Thai sugar?,Article,sugar export documents,Informational,1200,Planned
2026-08-27,FOB vs CIF for sugar shipments from Thailand,Article,FOB CIF sugar Thailand,Commercial,1200,Planned
2026-08-31,ICUMSA 45 sugar specifications for beverage plants,Article,ICUMSA 45 beverage,Commercial,1500,Planned
2026-09-03,How Thai cane is refined into white sugar,Article,sugar mill refining process,Informational,1500,Planned
2026-09-07,Container loading and bag marks for export sugar,Article,sugar container packing,Informational,1000,Planned
2026-09-10,How to write a sugar RFQ that gets a usable quote,Article,how to request a sugar quote,Transactional,1000,Planned
2026-09-14,Thai brown sugar vs refined white sugar,Article,Thai brown sugar wholesale,Commercial,1200,Planned
2026-09-17,Organic sugar export from Thailand: what buyers ask,Article,Thai organic sugar export,Commercial,1200,Planned
2026-09-21,Polarity and moisture on a sugar spec sheet,Article,sugar polarity,Informational,1200,Planned
2026-09-24,Choosing 50 kg bags vs jumbo bags,Article,jumbo bag sugar export,Commercial,1000,Planned
2026-09-28,How long a Thai sugar shipment typically takes,Article,sugar export lead time Thailand,Informational,1000,Planned
2026-10-01,ICUMSA 100-150 use cases for industrial buyers,Article,ICUMSA 100-150 industrial,Commercial,1200,Planned
2026-10-05,Certificate of origin and sugar customs clearance,Article,certificate of origin sugar,Informational,1200,Planned
2026-10-08,Qualifying a new Thai sugar supplier,Article,Thai sugar exporter due diligence,Commercial,1500,Planned
2026-10-12,Common sugars vs ICUMSA grades explained,Article,common sugars bulk,Informational,1200,Planned
2026-10-15,Fine grain vs granulated white sugar for manufacturing,Article,fine grain white sugar bulk,Commercial,1000,Planned
2026-10-19,How UFI handles first-time importer enquiries,Article,buy wholesale sugar Thailand,Navigational,800,Planned
2026-10-22,Seasonality in Thai cane and export availability,Article,Thai sugar cane season,Informational,1200,Planned
2026-10-26,Incoterms checklist for sugar buyers,Article,Incoterms sugar export,Commercial,1200,Planned
2026-10-29,Updating your sugar specification after a plant trial,Article,change ICUMSA grade,Informational,1000,Planned
2026-11-02,Khonkaen origin: why northeast Thailand matters for cane,Article,sugar exporter Khonkaen,Local,1000,Planned
2026-11-05,FAQ refresh: new buyer questions from Q3,FAQ,sugar export FAQ,Informational,800,Planned
2026-11-09,Glossary expansion: ash; invert; grain size,Glossary,sugar specification terms,Informational,800,Planned
2026-11-12,Q4 recap: which ICUMSA explainers to refresh,Article,ICUMSA sugar grades,Informational,800,Planned
